Date,Year,Forecast Temperature
22-04-2035,2035,46.11202595
23-04-2035,2035,45.18087377
24-04-2035,2035,48.57433542
25-04-2035,2035,47.50018956
26-04-2035,2035,48.92099282
27-04-2035,2035,51.45045512
28-04-2035,2035,50.92024072
29-04-2035,2035,52.73643887
30-04-2035,2035,51.77164585
01-05-2035,2035,53.97295755
02-05-2035,2035,54.90550667
03-05-2035,2035,58.02833836
04-05-2035,2035,54.36010947
05-05-2035,2035,49.62965018
06-05-2035,2035,50.73156928
07-05-2035,2035,51.80255206
08-05-2035,2035,56.65792452
09-05-2035,2035,56.32027438
10-05-2035,2035,54.83871454
11-05-2035,2035,55.07949838
12-05-2035,2035,56.47627048
13-05-2035,2035,56.41245057
14-05-2035,2035,55.61943225
15-05-2035,2035,54.2013991
16-05-2035,2035,55.12085462
17-05-2035,2035,57.47842841
18-05-2035,2035,59.07853416
19-05-2035,2035,57.90387797
20-05-2035,2035,58.62888382
21-05-2035,2035,59.96628506
22-05-2035,2035,60.87843459
23-05-2035,2035,59.47689384
24-05-2035,2035,57.85927934
25-05-2035,2035,58.22355892
26-05-2035,2035,58.70857616
27-05-2035,2035,56.73483001
28-05-2035,2035,58.68322313
29-05-2035,2035,56.632929
30-05-2035,2035,56.3866854
31-05-2035,2035,55.37399748
01-06-2035,2035,57.71357962
02-06-2035,2035,58.17014763
03-06-2035,2035,58.82736779
04-06-2035,2035,61.30458061
05-06-2035,2035,61.83538933
06-06-2035,2035,60.79927473
07-06-2035,2035,59.75327973
08-06-2035,2035,62.68636848
09-06-2035,2035,61.99206749
10-06-2035,2035,62.38419008
11-06-2035,2035,58.83963839
12-06-2035,2035,57.05695553
13-06-2035,2035,58.95392982
14-06-2035,2035,61.55108975
15-06-2035,2035,61.442224
16-06-2035,2035,59.37507389
17-06-2035,2035,57.50678991
18-06-2035,2035,57.15167781
19-06-2035,2035,58.7306681
20-06-2035,2035,58.59361618
21-06-2035,2035,59.55627112
22-06-2035,2035,60.20437345
23-06-2035,2035,60.08218518
24-06-2035,2035,59.20321811
25-06-2035,2035,59.01841598
26-06-2035,2035,58.65392043
27-06-2035,2035,59.75200058
28-06-2035,2035,59.16321468
29-06-2035,2035,58.77111979
30-06-2035,2035,60.69705334
01-07-2035,2035,60.69090188
02-07-2035,2035,59.15232256
03-07-2035,2035,58.72951713
04-07-2035,2035,61.14877427
05-07-2035,2035,58.76489429
06-07-2035,2035,54.55417669
07-07-2035,2035,55.36727321
08-07-2035,2035,55.4587434
09-07-2035,2035,55.92573105
10-07-2035,2035,58.26267295
11-07-2035,2035,59.27586471
12-07-2035,2035,60.45874703
13-07-2035,2035,59.510088
14-07-2035,2035,60.29200025
15-07-2035,2035,58.49801856
16-07-2035,2035,57.20351685
17-07-2035,2035,57.26527166
18-07-2035,2035,56.82155021
19-07-2035,2035,59.81263037
